trade_date,symbol,open,high,low,close,pre_close,volume,amount,turnover,pct_chg,adjustment_mode,trading_status,is_st,pe_ttm,pb,benchmark_symbol,benchmark_return_1d,benchmark_return_5d,benchmark_return_20d,forward_return_1d,forward_return_5d,forward_return_20d,benchmark_excess_return_1d,benchmark_excess_return_5d,benchmark_excess_return_20d,label_ready_1d,label_ready_5d,label_ready_20d,source_provider,source_provider_priority,crosscheck_provider,crosscheck_status,source_warning_codes,panel_contract_status,universe_mode,non_actionable_disclaimer
2026-04-21,002352.SZ,36.64,37.14,36.6,36.87,36.66,15054055,555077656.8,0.3156,0.5728,baostock_adjustflag_3_unadjusted,trading,false,16.713159,1.871714,000300.SH,0.0066338129,-0.0020530005,0.0161700186,-0.0018985625,0.0040683483,-0.0466503933,-0.0085323754,0.0061213487,-0.0628204118,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-04-22,002352.SZ,36.86,37.12,36.68,36.8,36.87,15127743,557948784.75,0.3171,-0.1899,baostock_adjustflag_3_unadjusted,trading,false,16.681428,1.86816,000300.SH,-0.0027709862,0.0022334652,0.0254124748,-0.0027173913,0.0010869565,-0.0320652174,0.0000535949,-0.0011465087,-0.0574776922,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-04-23,002352.SZ,36.88,37.08,36.66,36.7,36.8,15555154,573295175.89,0.3261,-0.2717,baostock_adjustflag_3_unadjusted,trading,false,16.636098,1.863084,000300.SH,-0.0035431133,0.0043832356,0.0337465430,-0.0054495913,0.0108991826,-0.0209809264,-0.0019064780,0.0065159470,-0.0547274694,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-04-24,002352.SZ,36.6,36.68,36.36,36.5,36.7,12489591,455802268.47,0.2618,-0.545,baostock_adjustflag_3_unadjusted,trading,false,16.545438,1.852931,000300.SH,0.0003308824,0.0225867205,0.0291029287,0.0104109589,0.0213698630,-0.0210958904,0.0100800765,-0.0012168575,-0.0501988191,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-04-27,002352.SZ,36.55,37.28,36.41,36.88,36.5,21399731,791202887.03,0.4486,1.0411,baostock_adjustflag_3_unadjusted,trading,false,16.717692,1.872221,000300.SH,-0.0026700360,0.0271566426,0.0300289236,0.0037960954,0.0187093275,-0.0444685466,0.0064661314,-0.0084473151,-0.0744974702,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-04-28,002352.SZ,36.89,37.15,36.73,37.02,36.88,19360275,714337199.26,0.4059,0.3796,baostock_adjustflag_3_unadjusted,trading,false,16.781154,1.879329,000300.SH,0.0109575909,0.0238963687,0.0281435766,-0.0048622366,0.0183684495,-0.0559157212,-0.0158198275,-0.0055279192,-0.0840592979,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-04-29,002352.SZ,37.4,37.57,36.67,36.84,37.02,37020194,1369028166.86,0.7761,-0.4862,baostock_adjustflag_3_unadjusted,trading,false,16.272831,1.849679,000300.SH,-0.0006319503,0.0294136381,0.0070491383,0.0070575461,0.0157437568,-0.0464169381,0.0076894964,-0.0136698813,-0.0534660764,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-04-30,002352.SZ,36.77,37.28,36.66,37.1,36.84,30498359,1127988249.58,0.6394,0.7058,baostock_adjustflag_3_unadjusted,trading,false,16.387678,1.862733,000300.SH,0.0145167141,0.0292761837,0.0223102461,0.0048517520,-0.0037735849,-0.0592991914,-0.0096649621,-0.0330497686,-0.0816094375,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-05-06,002352.SZ,37,37.4,36.6,37.28,37.1,32166873,1190924958.57,0.6744,0.4852,baostock_adjustflag_3_unadjusted,trading,false,16.467187,1.871771,000300.SH,0.0048013436,0.0248608126,0.0126542384,0.0077789700,-0.0166309013,-0.0726931330,0.0029776264,-0.0414917139,-0.0853473714,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2026-05-07,002352.SZ,37.31,37.81,37.21,37.57,37.28,27685599,1037853417.2,0.5804,0.7779,baostock_adjustflag_3_unadjusted,trading,false,16.595284,1.886331,000300.SH,-0.0058356378,0.0028746601,0.0008643182,0.0034602076,-0.0356667554,-0.0883683790,0.0092958454,-0.0385414155,-0.0892326973,true,true,true,baostock,1,akshare,not_checked_sample_scope_or_provider_unavailable,canonical_approved_universe_below_50;crosscheck_sample_scope_limited,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
