trade_date,symbol,signal_date,execution_date,recommendation_eligibility,actionability_status,risk_severity,warning_codes,evaluation_status,evaluation_reason,forward_return_1d,forward_return_5d,forward_return_20d,benchmark_excess_return_1d,benchmark_excess_return_5d,benchmark_excess_return_20d,label_source_path,label_source_trade_date,label_ready,diagnostic_mode,non_actionable_disclaimer
2024-07-18,000001.SZ,2024-07-18,2024-07-19,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.015267,-0.037077,,-0.008457,-0.00042,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-19,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-19,000001.SZ,2024-07-19,2024-07-22,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.005537,-0.013289,,0.015812,0.02204,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-22,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-22,000001.SZ,2024-07-22,2024-07-23,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.005568,-0.011136,,0.000743,0.009359,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-23,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-23,000001.SZ,2024-07-23,2024-07-24,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.004479,0.015677,,0.00105,0.008682,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-24,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-24,000001.SZ,2024-07-24,2024-07-25,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.006749,0.020247,,-0.009697,0.014363,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-25,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-25,000001.SZ,2024-07-25,2024-07-26,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.00906,0.012458,,0.014501,0.019762,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-26,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-26,000001.SZ,2024-07-26,2024-07-29,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.003367,-0.006734,,0.002933,0.007251,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-29,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-29,000001.SZ,2024-07-29,2024-07-30,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.021396,-0.016892,,-0.000181,-0.009057,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-30,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-30,000001.SZ,2024-07-30,2024-07-31,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.0,-0.037486,,0.006627,-0.008262,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-31,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-31,000001.SZ,2024-07-31,2024-08-01,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.014333,-0.036384,,-0.004132,-0.014061,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-08-01,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
