trade_date,symbol,fwd_1d_return,fwd_3d_return,fwd_5d_return,benchmark_fwd_1d_return,benchmark_fwd_3d_return,benchmark_fwd_5d_return,excess_fwd_1d_return,excess_fwd_3d_return,excess_fwd_5d_return,provider_id,provider_mode,source_bundle_id,label_ready,label_contract_version,label_quality_flags
2024-08-16,000001.SZ,0.017917,0.024636,0.038074,0.003389,-0.007171,-0.005512,0.014528,0.031807,0.043586,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-19,000001.SZ,0.005501,0.009901,0.022002,-0.00723,-0.013056,-0.009756,0.012731,0.022957,0.031758,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-20,000001.SZ,0.001094,0.014223,0.009847,-0.003319,-0.001653,-0.008213,0.004413,0.015876,0.01806,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-21,000001.SZ,0.003279,0.015301,-0.002186,-0.002559,0.000777,-0.010579,0.005838,0.014524,0.008393,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-05,000001.SZ,0.001127,-0.019166,-0.037204,-0.008107,-0.019031,-0.026181,0.009234,-0.000135,-0.011023,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-06,000001.SZ,-0.025901,-0.048423,-0.042793,-0.011884,-0.013994,-0.022313,-0.014017,-0.034429,-0.02048,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-09,000001.SZ,0.00578,-0.012717,-0.009249,0.00088,-0.006414,-0.006871,0.0049,-0.006303,-0.002378,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-10,000001.SZ,-0.028736,-0.022989,-0.010345,-0.003013,-0.011425,8.8e-05,-0.025723,-0.011564,-0.010433,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-11,000001.SZ,0.010651,0.014201,0.029586,-0.004287,-0.004746,0.004683,0.014938,0.018947,0.024903,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-09-12,000001.SZ,-0.004684,0.008197,0.035129,-0.004167,0.00743,0.0127,-0.000517,0.000767,0.022429,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
