trade_date,board_id,board_name,board_type,classification_system,open,high,low,close,volume,amount,turnover,constituent_count,positive_constituent_share,negative_constituent_share,trailing_return_5d,trailing_return_20d,trailing_volatility_20d,source_id,source_provider,provider_timestamp,pit_available_date,no_lookahead_status,data_status,non_actionable_disclaimer
2026-03-30,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.5317760000,50,0.4400000000,0.5600000000,-0.0114279545,0.0592745467,0.0112601152,market_turnover_proxy,baostock,2026-03-30,2026-03-30,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-03-31,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.2600000000,0.7400000000,0.0326977726,0.0809648334,0.0117923957,market_breadth_proxy,baostock,2026-03-31,2026-03-31,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-03-31,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.2600000000,0.7400000000,0.0326977726,0.0809648334,0.0117923957,industry_indices,baostock,2026-03-31,2026-03-31,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-03-31,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.5406320000,50,0.2600000000,0.7400000000,0.0326977726,0.0809648334,0.0117923957,market_turnover_proxy,baostock,2026-03-31,2026-03-31,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-01,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.8600000000,0.1200000000,0.0088723613,0.0621378589,0.0117098110,market_breadth_proxy,baostock,2026-04-01,2026-04-01,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-01,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.8600000000,0.1200000000,0.0088723613,0.0621378589,0.0117098110,industry_indices,baostock,2026-04-01,2026-04-01,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-01,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.4576060000,50,0.8600000000,0.1200000000,0.0088723613,0.0621378589,0.0117098110,market_turnover_proxy,baostock,2026-04-01,2026-04-01,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-02,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.3200000000,0.6800000000,0.0351985764,0.0889008119,0.0117493711,market_breadth_proxy,baostock,2026-04-02,2026-04-02,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-02,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.3200000000,0.6800000000,0.0351985764,0.0889008119,0.0117493711,industry_indices,baostock,2026-04-02,2026-04-02,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-02,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.5018540000,50,0.3200000000,0.6800000000,0.0351985764,0.0889008119,0.0117493711,market_turnover_proxy,baostock,2026-04-02,2026-04-02,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-03,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.1200000000,0.8800000000,0.0462453192,0.1035223494,0.0116365565,market_breadth_proxy,baostock,2026-04-03,2026-04-03,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-03,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.1200000000,0.8800000000,0.0462453192,0.1035223494,0.0116365565,industry_indices,baostock,2026-04-03,2026-04-03,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-03,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.2128460000,50,0.1200000000,0.8800000000,0.0462453192,0.1035223494,0.0116365565,market_turnover_proxy,baostock,2026-04-03,2026-04-03,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-07,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.3400000000,0.6400000000,0.0587007497,0.0971252593,0.0138171449,market_breadth_proxy,baostock,2026-04-07,2026-04-07,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-07,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.3400000000,0.6400000000,0.0587007497,0.0971252593,0.0138171449,industry_indices,baostock,2026-04-07,2026-04-07,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-07,market_liquidity_proxy,Market liquidity derived proxy,derived_market_liquidity,committed_provider02b_cross_section_proxy,,,,,,,1.0832500000,50,0.3400000000,0.6400000000,0.0587007497,0.0971252593,0.0138171449,market_turnover_proxy,baostock,2026-04-07,2026-04-07,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-08,market_breadth_proxy,Market breadth derived proxy,derived_market_breadth,committed_provider02b_cross_section_proxy,,,,,,,,50,0.9600000000,0.0400000000,0.0195167679,0.0775272024,0.0137678558,market_breadth_proxy,baostock,2026-04-08,2026-04-08,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-04-08,market_dispersion_proxy,Market dispersion derived proxy,derived_market_dispersion,committed_provider02b_cross_section_proxy,,,,,,,,50,0.9600000000,0.0400000000,0.0195167679,0.0775272024,0.0137678558,industry_indices,baostock,2026-04-08,2026-04-08,passed_current_or_past_only,derived_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
