trade_date,index_id,index_name,open,high,low,close,volume,amount,turnover,trailing_return_5d,trailing_return_20d,trailing_volatility_20d,trailing_drawdown_20d,source_id,source_provider,provider_timestamp,pit_available_date,no_lookahead_status,data_status,non_actionable_disclaimer
2025-12-26,000001.SH,SSE Composite proxy,,,,,,,,0.0286551262,0.0104035437,0.0071573350,,sse_indices,baostock,2025-12-26,2025-12-26,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-26,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0286551262,0.0104035437,0.0071573350,,szse_indices,baostock,2025-12-26,2025-12-26,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-29,000300.SH,CSI 300,,,,,,,,0.0295931641,0.0169461079,0.0070515151,,csi_indices,baostock,2025-12-29,2025-12-29,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-29,000001.SH,SSE Composite proxy,,,,,,,,0.0295931641,0.0169461079,0.0070515151,,sse_indices,baostock,2025-12-29,2025-12-29,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-29,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0295931641,0.0169461079,0.0070515151,,szse_indices,baostock,2025-12-29,2025-12-29,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-30,000300.SH,CSI 300,,,,,,,,0.0185694619,0.0220558342,0.0070293814,,csi_indices,baostock,2025-12-30,2025-12-30,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-30,000001.SH,SSE Composite proxy,,,,,,,,0.0185694619,0.0220558342,0.0070293814,,sse_indices,baostock,2025-12-30,2025-12-30,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-30,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0185694619,0.0220558342,0.0070293814,,szse_indices,baostock,2025-12-30,2025-12-30,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-31,000300.SH,CSI 300,,,,,,,,0.0278583770,0.0165014251,0.0080304756,,csi_indices,baostock,2025-12-31,2025-12-31,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-31,000001.SH,SSE Composite proxy,,,,,,,,0.0278583770,0.0165014251,0.0080304756,,sse_indices,baostock,2025-12-31,2025-12-31,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-31,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0278583770,0.0165014251,0.0080304756,,szse_indices,baostock,2025-12-31,2025-12-31,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-05,000300.SH,CSI 300,,,,,,,,0.0152975180,-0.0236905096,0.0084552408,,csi_indices,baostock,2026-01-05,2026-01-05,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-05,000001.SH,SSE Composite proxy,,,,,,,,0.0152975180,-0.0236905096,0.0084552408,,sse_indices,baostock,2026-01-05,2026-01-05,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-05,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0152975180,-0.0236905096,0.0084552408,,szse_indices,baostock,2026-01-05,2026-01-05,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-06,000300.SH,CSI 300,,,,,,,,-0.0061914623,-0.0272583483,0.0084137372,,csi_indices,baostock,2026-01-06,2026-01-06,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-06,000001.SH,SSE Composite proxy,,,,,,,,-0.0061914623,-0.0272583483,0.0084137372,,sse_indices,baostock,2026-01-06,2026-01-06,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-06,399001.SZ,Shenzhen Component proxy,,,,,,,,-0.0061914623,-0.0272583483,0.0084137372,,szse_indices,baostock,2026-01-06,2026-01-06,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-07,000300.SH,CSI 300,,,,,,,,-0.0072718506,-0.0163257392,0.0085629821,,csi_indices,baostock,2026-01-07,2026-01-07,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-07,000001.SH,SSE Composite proxy,,,,,,,,-0.0072718506,-0.0163257392,0.0085629821,,sse_indices,baostock,2026-01-07,2026-01-07,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-07,399001.SZ,Shenzhen Component proxy,,,,,,,,-0.0072718506,-0.0163257392,0.0085629821,,szse_indices,baostock,2026-01-07,2026-01-07,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-08,000300.SH,CSI 300,,,,,,,,0.0029077052,-0.0141915821,0.0085585497,,csi_indices,baostock,2026-01-08,2026-01-08,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-08,000001.SH,SSE Composite proxy,,,,,,,,0.0029077052,-0.0141915821,0.0085585497,,sse_indices,baostock,2026-01-08,2026-01-08,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-08,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0029077052,-0.0141915821,0.0085585497,,szse_indices,baostock,2026-01-08,2026-01-08,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-09,000300.SH,CSI 300,,,,,,,,-0.0056839132,-0.0242336810,0.0082646780,,csi_indices,baostock,2026-01-09,2026-01-09,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2026-01-09,000001.SH,SSE Composite proxy,,,,,,,,-0.0056839132,-0.0242336810,0.0082646780,,sse_indices,baostock,2026-01-09,2026-01-09,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
