index_id,index_name,trade_date,close,return_1d,source_provider,no_lookahead_status
sh000300,csi300,2023-06-14,3864.025,-0.00022821,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-15,3925.499,0.01590932,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-16,3963.351,0.0096426,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-19,3930.908,-0.00818575,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-20,3924.238,-0.00169681,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-21,3864.032,-0.01534209,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-26,3809.696,-0.014062,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-27,3845.433,0.00938054,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-28,3840.799,-0.00120507,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-29,3821.844,-0.00493517,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-30,3842.452,0.00539216,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-03,3892.882,0.01312443,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-04,3899.013,0.00157493,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-05,3868.805,-0.0077476,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-06,3842.755,-0.00673335,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-07,3825.699,-0.00443848,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-10,3844.327,0.00486918,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-11,3869.486,0.00654445,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-12,3843.437,-0.0067319,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-13,3898.423,0.01430647,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-14,3899.103,0.00017443,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-17,3867.175,-0.00818855,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-18,3854.939,-0.00316407,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-19,3850.866,-0.00105657,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-20,3823.695,-0.00705582,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-21,3821.91,-0.00046683,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-24,3805.221,-0.00436666,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-25,3915.115,0.02887979,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-26,3907.013,-0.00206942,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-27,3902.346,-0.00119452,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-28,3992.738,0.0231635,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-07-31,4014.63,0.00548295,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-01,3998.001,-0.0041421,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-02,3969.895,-0.00703001,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-03,4004.984,0.00883877,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-04,4020.579,0.0038939,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-07,3990.153,-0.00756757,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-08,3979.732,-0.00261168,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-09,3967.565,-0.00305724,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-10,3975.717,0.00205466,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-11,3884.254,-0.02300541,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-14,3855.906,-0.00729818,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-15,3846.536,-0.00243004,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-16,3818.334,-0.00733179,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-17,3831.101,0.0033436,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-18,3784.004,-0.01229333,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-21,3729.555,-0.01438926,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-22,3758.227,0.00768778,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-23,3696.634,-0.01638885,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-24,3723.429,0.00724849,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-25,3709.152,-0.00383437,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-28,3752.619,0.01171885,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-29,3790.107,0.00998982,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-30,3788.51,-0.00042136,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-08-31,3765.268,-0.00613487,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-01,3791.491,0.00696444,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-04,3848.952,0.01515525,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-05,3820.317,-0.00743969,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-06,3812.028,-0.00216972,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-07,3758.475,-0.01404843,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-08,3739.993,-0.00491742,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-11,3767.537,0.00736472,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-12,3760.605,-0.00183993,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-13,3736.651,-0.00636972,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-14,3733.508,-0.00084113,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-15,3708.777,-0.00662407,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-18,3727.711,0.00510519,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-09-19,3720.502,-0.00193389,akshare_sina,passed_current_or_past_only
