trade_date,benchmark_symbol,base_composite_regime_label,refined_composite_regime_label,benchmark_trend_regime,benchmark_volatility_regime,breadth_regime,dispersion_regime,liquidity_regime,downside_risk_regime,benchmark_trend_expanded_agreement,benchmark_volatility_expanded_agreement,breadth_expanded_agreement,dispersion_expanded_agreement,liquidity_expanded_agreement,downside_risk_expanded_agreement,broad_index_trend_20d,broad_index_volatility_20d,sector_breadth_positive_share,sector_dispersion_level,market_liquidity_pressure,expanded_dimension_available_count,expanded_dimension_agreement_count,regime_confidence_tier,source_coverage_score,external_data_quality_score,regime_refinement_status,no_lookahead_status,non_actionable_disclaimer
2025-12-17,000300.SH,risk_on_low_vol_review_only,risk_on_low_vol_review_only,benchmark_trend_up_review_only,benchmark_vol_medium_review_only,breadth_positive_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0331881984,0.0093373383,0.9000000000,2.0939463178,liquidity_normal_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-18,000300.SH,liquidity_stress_review_only,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0399014442,0.0075055519,0.2000000000,1.2693444506,liquidity_stressed_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-19,000300.SH,liquidity_stress_review_only,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0329891035,0.0076870652,0.7600000000,1.3039172867,liquidity_stressed_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-22,000300.SH,liquidity_stress_review_only,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_medium_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0241662616,0.0074830481,0.5400000000,2.1195018574,liquidity_stressed_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-23,000300.SH,liquidity_stress_review_only,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0222854200,0.0074170756,0.3600000000,1.3946946747,liquidity_stressed_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-24,000300.SH,liquidity_stress_review_only,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0147684796,0.0074062708,0.5400000000,1.2234449476,liquidity_stressed_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-25,000300.SH,liquidity_stress_review_only,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0138778254,0.0074126228,0.5600000000,1.1407735400,liquidity_stressed_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-26,000300.SH,mixed_uncertain_review_only,mixed_uncertain_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0104035437,0.0071573350,0.4600000000,2.0832191802,liquidity_normal_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-29,000300.SH,mixed_uncertain_review_only,mixed_uncertain_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0169461079,0.0070515151,0.2800000000,1.7999627781,liquidity_normal_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-30,000300.SH,liquidity_stress_review_only,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0220558342,0.0070293814,0.5400000000,1.5424891952,liquidity_stressed_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
