refined_factor_id,source_factor_id,refinement_type,factor_family,group_type,group_value,row_count,unique_symbols,unique_trade_dates,mean_forward_return_1d,median_forward_return_1d,hit_rate_1d,mean_forward_return_5d,median_forward_return_5d,hit_rate_5d,mean_forward_return_20d,median_forward_return_20d,hit_rate_20d,mean_benchmark_excess_return_1d,median_benchmark_excess_return_1d,positive_excess_rate_1d,mean_benchmark_excess_return_5d,median_benchmark_excess_return_5d,positive_excess_rate_5d,mean_benchmark_excess_return_20d,median_benchmark_excess_return_20d,positive_excess_rate_20d
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,factor_quantile,2,1000,50,100,-0.0014342158,-0.0019384792,0.4310000000,-0.0055645706,-0.0075412366,0.4220000000,-0.0188285433,-0.0316431322,0.3500000000,-0.0020438358,-0.0029115379,0.3960000000,-0.0091279476,-0.0096390482,0.3580000000,-0.0271790992,-0.0364605097,0.3170000000
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,factor_quantile,3,1000,50,100,-0.0006386067,-0.0016453793,0.4510000000,-0.0024991321,-0.0040013169,0.4560000000,-0.0113452433,-0.0267337168,0.3540000000,-0.0012482267,-0.0023723703,0.4460000000,-0.0060625091,-0.0068729459,0.4090000000,-0.0196957992,-0.0346025560,0.3340000000
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,factor_quantile,4,1000,50,100,0.0013785960,0.0000000000,0.4960000000,0.0026167748,-0.0021265516,0.4620000000,-0.0014950047,-0.0225919568,0.3970000000,0.0007689760,-0.0018264197,0.4520000000,-0.0009466022,-0.0056652626,0.4350000000,-0.0098455606,-0.0303760541,0.3720000000
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,factor_quantile,5,1000,44,100,0.0008185468,-0.0023666395,0.4580000000,0.0071606611,0.0016952658,0.5130000000,0.0110640336,-0.0078409642,0.4720000000,0.0002089268,-0.0027925414,0.4510000000,0.0035972841,-0.0025297412,0.4900000000,0.0027134777,-0.0250786594,0.4280000000
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,factor_bucket,HIGH_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,2000,50,100,0.0010985714,-0.0008792669,0.4770000000,0.0048887180,-0.0010494881,0.4875000000,0.0047845144,-0.0173687803,0.4345000000,0.0004889514,-0.0021858713,0.4515000000,0.0013253410,-0.0046952343,0.4625000000,-0.0035660415,-0.0279535756,0.4000000000
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,factor_bucket,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,1000,50,20,-0.0009481177,0.0000000000,0.4750000000,0.0003128218,-0.0008543283,0.4820000000,0.0233516446,0.0157057202,0.6170000000,-0.0008998130,-0.0012488481,0.4450000000,-0.0040650394,-0.0060829583,0.4170000000,-0.0066081556,-0.0128133196,0.4260000000
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,factor_bucket,LOW_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,2000,50,100,-0.0005380068,-0.0019019257,0.4395000000,-0.0024821028,-0.0062002550,0.4300000000,-0.0194595434,-0.0347205330,0.3295000000,-0.0011476269,-0.0024818335,0.4145000000,-0.0060454797,-0.0088294513,0.3820000000,-0.0278100993,-0.0409028366,0.3020000000
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,factor_bucket,MEDIUM_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,1000,50,100,-0.0006386067,-0.0016453793,0.4510000000,-0.0024991321,-0.0040013169,0.4560000000,-0.0113452433,-0.0267337168,0.3540000000,-0.0012482267,-0.0023723703,0.4460000000,-0.0060625091,-0.0068729459,0.4090000000,-0.0196957992,-0.0346025560,0.3340000000
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,factor_quantile,1,800,38,100,0.0006169885,-0.0012256006,0.4637500000,0.0024976414,-0.0031791968,0.4537500000,-0.0161822799,-0.0355218625,0.3325000000,0.0000073685,-0.0016125944,0.4462500000,-0.0010657356,-0.0057677955,0.4237500000,-0.0245328358,-0.0424010221,0.2987500000
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,factor_quantile,2,800,39,100,-0.0005797780,-0.0014863004,0.4537500000,-0.0021356575,-0.0049690131,0.4487500000,-0.0084461430,-0.0273388290,0.4012500000,-0.0011893980,-0.0030637267,0.4062500000,-0.0056990345,-0.0085055018,0.3900000000,-0.0167966989,-0.0315445572,0.3437500000
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,factor_quantile,3,800,39,100,0.0007881403,-0.0015618901,0.4600000000,0.0016141951,-0.0014503128,0.4887500000,0.0012083627,-0.0227711364,0.4075000000,0.0001785203,-0.0016799788,0.4550000000,-0.0019491819,-0.0059131156,0.4325000000,-0.0071421932,-0.0279998262,0.3850000000
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,factor_quantile,4,800,39,100,0.0005368723,-0.0010199899,0.4762500000,0.0027310497,-0.0034457235,0.4512500000,0.0030670433,-0.0284155212,0.4037500000,-0.0000727477,-0.0022217007,0.4437500000,-0.0008323273,-0.0063545577,0.4287500000,-0.0052835126,-0.0310359204,0.3800000000
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,factor_quantile,5,700,31,100,0.0015397172,-0.0015465801,0.4671428571,0.0102698904,0.0052909001,0.5400000000,0.0214233929,0.0042556843,0.5100000000,0.0009300972,-0.0034564707,0.4514285714,0.0067065134,0.0017829607,0.5100000000,0.0130728370,-0.0100320218,0.4728571429
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,factor_bucket,HIGH_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,1500,39,100,0.0010048666,-0.0012519762,0.4720000000,0.0062491753,-0.0003996638,0.4926666667,0.0116333398,-0.0134907951,0.4533333333,0.0003952466,-0.0026071012,0.4473333333,0.0026857984,-0.0041466546,0.4666666667,0.0032827839,-0.0249928388,0.4233333333
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,factor_bucket,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,2100,50,120,-0.0012538933,-0.0010805778,0.4519047619,-0.0039656125,-0.0039062524,0.4385714286,-0.0076464849,-0.0110043006,0.4314285714,-0.0015502158,-0.0018995664,0.4314285714,-0.0079168391,-0.0080459398,0.3895238095,-0.0262871571,-0.0287843279,0.3366666667
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,factor_bucket,LOW_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,1600,39,100,0.0000186053,-0.0013715752,0.4587500000,0.0001809920,-0.0042673994,0.4512500000,-0.0123142114,-0.0314792527,0.3668750000,-0.0005910148,-0.0022948237,0.4262500000,-0.0033823850,-0.0073624004,0.4068750000,-0.0206647673,-0.0364968832,0.3212500000
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,factor_bucket,MEDIUM_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,800,39,100,0.0007881403,-0.0015618901,0.4600000000,0.0016141951,-0.0014503128,0.4887500000,0.0012083627,-0.0227711364,0.4075000000,0.0001785203,-0.0016799788,0.4550000000,-0.0019491819,-0.0059131156,0.4325000000,-0.0071421932,-0.0279998262,0.3850000000
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,factor_quantile,1,300,13,100,0.0001022979,-0.0009974117,0.4700000000,-0.0004650722,-0.0025324409,0.4566666667,-0.0271900037,-0.0344525731,0.3366666667,-0.0005073221,-0.0023317220,0.4566666667,-0.0040284492,-0.0119100949,0.4033333333,-0.0355405596,-0.0526036218,0.2966666667
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,factor_quantile,2,300,13,100,-0.0014837559,-0.0023692829,0.4233333333,-0.0091477153,-0.0083161521,0.4133333333,-0.0124946835,-0.0289383939,0.4033333333,-0.0020933759,-0.0041432921,0.4000000000,-0.0127110923,-0.0119337775,0.3566666667,-0.0208452394,-0.0348208097,0.3266666667
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,factor_quantile,3,200,13,100,0.0039271516,0.0024128123,0.5450000000,0.0149638038,0.0087712578,0.5650000000,0.0371320688,-0.0095499861,0.4650000000,0.0033175316,0.0020938272,0.5300000000,0.0114004268,0.0027708636,0.5300000000,0.0287815129,-0.0124283756,0.4600000000
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,factor_quantile,4,300,13,100,0.0017830593,0.0000852951,0.5000000000,0.0122790609,0.0059019479,0.5266666667,0.0435333469,0.0104824059,0.5133333333,0.0011734393,-0.0016012248,0.4700000000,0.0087156840,0.0007943842,0.5033333333,0.0351827910,0.0104436464,0.5300000000
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,factor_quantile,5,200,12,100,0.0021496039,-0.0006027179,0.4900000000,0.0142020462,0.0109444147,0.5400000000,0.0249595614,0.0233107136,0.5500000000,0.0015399839,-0.0029642159,0.4550000000,0.0106386692,0.0066015490,0.5300000000,0.0166090055,0.0125995614,0.5100000000
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,factor_bucket,HIGH_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,500,13,100,0.0019296771,0.0000000000,0.4960000000,0.0130482550,0.0076652597,0.5320000000,0.0361038327,0.0187357346,0.5280000000,0.0013200571,-0.0018612062,0.4640000000,0.0094848780,0.0044650631,0.5140000000,0.0277532768,0.0108727039,0.5220000000
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,factor_bucket,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,4700,50,120,-0.0003832823,-0.0015022535,0.4540425532,-0.0008523685,-0.0036432473,0.4538297872,-0.0065779959,-0.0177364992,0.4085106383,-0.0008529183,-0.0020261483,0.4314893617,-0.0045890400,-0.0072038058,0.4093617021,-0.0195262633,-0.0312713557,0.3455319149
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,factor_bucket,LOW_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,600,13,100,-0.0006907290,-0.0017707557,0.4466666667,-0.0048063938,-0.0056521330,0.4350000000,-0.0198423436,-0.0324543113,0.3700000000,-0.0013003490,-0.0034887224,0.4283333333,-0.0083697708,-0.0119100949,0.3800000000,-0.0281928995,-0.0441639146,0.3116666667
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,factor_bucket,MEDIUM_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,200,13,100,0.0039271516,0.0024128123,0.5450000000,0.0149638038,0.0087712578,0.5650000000,0.0371320688,-0.0095499861,0.4650000000,0.0033175316,0.0020938272,0.5300000000,0.0114004268,0.0027708636,0.5300000000,0.0287815129,-0.0124283756,0.4600000000
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,factor_quantile,1,984,49,100,0.0000022259,-0.0019019257,0.4420731707,-0.0011742367,-0.0050121988,0.4308943089,-0.0217180485,-0.0373228537,0.3018292683,-0.0006409435,-0.0026415438,0.4237804878,-0.0046833352,-0.0085589013,0.3922764228,-0.0299847162,-0.0435791365,0.2835365854
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,factor_quantile,2,955,49,100,-0.0013512669,-0.0019467878,0.4324607330,-0.0055505091,-0.0074682599,0.4219895288,-0.0180440323,-0.0317073171,0.3539267016,-0.0019300332,-0.0024657958,0.4010471204,-0.0090203796,-0.0093489563,0.3633507853,-0.0261162330,-0.0347363159,0.3204188482
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,factor_quantile,3,941,50,100,-0.0004138551,-0.0017182131,0.4495217853,-0.0023445257,-0.0044994376,0.4516471838,-0.0120624036,-0.0265323103,0.3517534538,-0.0010680392,-0.0024593220,0.4442082891,-0.0058585256,-0.0069649495,0.4017003188,-0.0205307289,-0.0346292751,0.3326248672
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,factor_quantile,4,955,50,100,0.0009809395,0.0000000000,0.4900523560,0.0018672966,-0.0019493177,0.4638743455,-0.0001869793,-0.0217983651,0.4041884817,0.0004021731,-0.0019755732,0.4502617801,-0.0016025739,-0.0062664752,0.4376963351,-0.0082591799,-0.0296053642,0.3801047120
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,factor_quantile,5,900,46,100,0.0011093835,-0.0015465801,0.4655555556,0.0062313915,-0.0000860992,0.4977777778,0.0020975523,-0.0177283189,0.4333333333,0.0004419877,-0.0025332562,0.4555555556,0.0026909725,-0.0034737178,0.4755555556,-0.0061513365,-0.0309482362,0.3888888889
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,factor_bucket,HIGH_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,1855,50,100,0.0010432573,-0.0007739273,0.4781671159,0.0039846473,-0.0012642225,0.4803234501,0.0009214188,-0.0202555313,0.4183288410,0.0004214902,-0.0020399253,0.4528301887,0.0004805483,-0.0050941025,0.4560646900,-0.0072365066,-0.0302917314,0.3843665768
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,factor_bucket,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,1265,50,111,-0.0005716446,-0.0001783485,0.4750988142,0.0030812515,0.0000000000,0.4980237154,0.0244272284,0.0160784314,0.5984189723,-0.0006073991,-0.0014001715,0.4466403162,-0.0013624555,-0.0047625693,0.4411067194,-0.0014759980,-0.0129782378,0.4371541502
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,factor_bucket,LOW_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,1939,50,100,-0.0006643990,-0.0019301707,0.4373388345,-0.0033296468,-0.0064494514,0.4265085095,-0.0199085150,-0.0350672122,0.3274883961,-0.0012758485,-0.0025272557,0.4125838061,-0.0068194247,-0.0088723613,0.3780299123,-0.0280794034,-0.0404029974,0.3017019082
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,factor_bucket,MEDIUM_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,941,50,100,-0.0004138551,-0.0017182131,0.4495217853,-0.0023445257,-0.0044994376,0.4516471838,-0.0120624036,-0.0265323103,0.3517534538,-0.0010680392,-0.0024593220,0.4442082891,-0.0058585256,-0.0069649495,0.4017003188,-0.0205307289,-0.0346292751,0.3326248672
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,factor_quantile,1,977,47,100,-0.0007490591,-0.0020100503,0.4206755374,-0.0038325036,-0.0069204152,0.4032753327,-0.0262684488,-0.0339118292,0.2906857728,-0.0013016369,-0.0026670205,0.4227226203,-0.0072490566,-0.0096166823,0.3541453429,-0.0340542936,-0.0407073759,0.2824974411
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,factor_quantile,2,963,50,100,-0.0007639261,-0.0019685039,0.4350986501,-0.0039286412,-0.0058708415,0.4413291796,-0.0215567687,-0.0381781648,0.3468328141,-0.0013759718,-0.0022845184,0.4143302181,-0.0074041855,-0.0088197475,0.3987538941,-0.0292507248,-0.0383307819,0.3146417445
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,factor_quantile,3,954,50,100,-0.0011146899,-0.0019927166,0.4528301887,-0.0027554344,-0.0058543822,0.4475890985,-0.0114710834,-0.0315747949,0.3511530398,-0.0016598773,-0.0028863724,0.4255765199,-0.0061682891,-0.0075869817,0.4014675052,-0.0188328982,-0.0396868398,0.3259958071
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,factor_quantile,4,963,50,100,0.0007756829,-0.0007002801,0.4839044652,0.0033187925,-0.0011383039,0.4797507788,0.0011056352,-0.0200397184,0.3935617861,0.0001636372,-0.0028219419,0.4371754933,-0.0001567517,-0.0050648622,0.4423676012,-0.0065883209,-0.0293186882,0.3811007269
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,factor_quantile,5,911,47,100,0.0009253450,-0.0015814444,0.4566410538,0.0067570740,0.0001967536,0.5016465423,0.0106755603,-0.0060689655,0.4742041712,0.0003950455,-0.0021833717,0.4522502744,0.0034799248,-0.0033556265,0.4829857300,0.0033746245,-0.0235079139,0.4302963776
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,factor_bucket,HIGH_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,1874,50,100,0.0008484375,-0.0010512804,0.4706510139,0.0049902303,-0.0006594270,0.4903948773,0.0057578240,-0.0157977982,0.4327641409,0.0002761308,-0.0025575962,0.4445037353,0.0016111310,-0.0045126179,0.4621131270,-0.0017450748,-0.0264670853,0.4050160085
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,factor_bucket,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,1232,50,91,0.0003858267,0.0000000000,0.4991883117,0.0027853494,0.0000000000,0.4935064935,0.0237281148,0.0142909771,0.5965909091,0.0001602462,-0.0009435621,0.4642857143,-0.0020210867,-0.0048948008,0.4350649351,-0.0051784809,-0.0150807738,0.4180194805
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,factor_bucket,LOW_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,1940,50,100,-0.0007564389,-0.0019890607,0.4278350515,-0.0038802255,-0.0064546999,0.4221649485,-0.0239296096,-0.0359976909,0.3185567010,-0.0013385361,-0.0025102740,0.4185567010,-0.0073260613,-0.0090984674,0.3762886598,-0.0316698417,-0.0400643810,0.2984536082
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,factor_bucket,MEDIUM_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,954,50,100,-0.0011146899,-0.0019927166,0.4528301887,-0.0027554344,-0.0058543822,0.4475890985,-0.0114710834,-0.0315747949,0.3511530398,-0.0016598773,-0.0028863724,0.4255765199,-0.0061682891,-0.0075869817,0.4014675052,-0.0188328982,-0.0396868398,0.3259958071
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,factor_quantile,1,1000,48,100,-0.0003523704,-0.0018706586,0.4330000000,-0.0015603304,-0.0062361111,0.4160000000,-0.0225542144,-0.0310315433,0.3020000000,-0.0009619904,-0.0024241143,0.4320000000,-0.0051237073,-0.0086222484,0.3710000000,-0.0309047703,-0.0382359901,0.2910000000
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,factor_quantile,2,1000,50,100,-0.0003185682,-0.0017857143,0.4490000000,-0.0026795603,-0.0047353116,0.4510000000,-0.0191803743,-0.0376011443,0.3540000000,-0.0009281882,-0.0020261483,0.4220000000,-0.0062429372,-0.0080344030,0.4090000000,-0.0275309302,-0.0380680005,0.3220000000
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,factor_quantile,3,1000,50,100,-0.0007013441,-0.0017055247,0.4580000000,-0.0030026663,-0.0058543822,0.4480000000,-0.0091846999,-0.0302964846,0.3610000000,-0.0013109642,-0.0022648734,0.4330000000,-0.0065660433,-0.0075069555,0.4030000000,-0.0175352558,-0.0396868398,0.3310000000
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,factor_quantile,4,1000,50,100,0.0007893020,-0.0007789565,0.4830000000,0.0023430934,-0.0018680663,0.4710000000,-0.0015355044,-0.0202338170,0.3930000000,0.0001796820,-0.0028138549,0.4370000000,-0.0012202836,-0.0058523096,0.4330000000,-0.0098860602,-0.0315503934,0.3670000000
