refined_factor_id,source_factor_id,refinement_type,factor_family,regime_label,row_count,valid_factor_value_count,unique_symbols,unique_trade_dates,regime_sample_size_status,mean_ic_1d,mean_ic_5d,mean_ic_20d,mean_rank_ic_1d,mean_rank_ic_5d,mean_rank_ic_20d,ic_positive_rate_1d,top_minus_bottom_excess_spread_1d,top_minus_bottom_excess_spread_5d,top_minus_bottom_excess_spread_20d,direction_status_1d,direction_status_5d,direction_status_20d,sign_flip_count,stable_window_count,unstable_window_count,regime_stability_status,regime_conditional_status,regime_conditional_reason,no_lookahead_status,non_actionable_disclaimer
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,risk_on_high_vol_review_only,1250,1250,50,25,sufficient_regime_sample,0.0277691488,0.0638380589,0.2194784832,0.0164782524,0.0385190731,0.1739659064,0.6400000000,0.0030739266,0.0099150226,0.0502733245,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,1,1,1,sign_unstable,not_ready,sign_unstable_across_windows,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,risk_on_low_vol_review_only,100,100,50,2,insufficient_regime_sample,-0.0755980318,0.0167302815,-0.0089461165,-0.0007194205,0.0544524942,0.0649699880,0.5000000000,-0.0022405561,0.0108928584,0.0322180680,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,0,0,0,not_evaluable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,insufficient_composite_regime_evidence_review_only,950,0,50,19,insufficient_regime_evidence,,,,,,,,,,,not_evaluable,not_evaluable,not_evaluable,0,0,0,not_evaluable,not_ready,regime_evidence_insufficient,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,liquidity_stress_review_only,950,702,50,19,sufficient_regime_sample,-0.0525049693,-0.0416554115,-0.0805173297,-0.0923519880,-0.0404970760,-0.0005060729,0.3333333333,-0.0016814356,-0.0016110014,0.0133080227,inverse_signal_warning,inverse_signal_warning,expected_direction_aligned,0,1,0,sign_stable,not_ready,conflicting_direction_across_horizons,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,mixed_uncertain_review_only,1900,1482,50,38,sufficient_regime_sample,0.0499596745,0.1155030072,0.0914211394,0.0113037693,0.0966599190,0.0265661624,0.6578947368,0.0026492773,0.0123643766,0.0157091314,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0,4,0,sign_stable,conditionally_useful,aligned_stable_regime_signal_but_not_base_validated_candidate,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,risk_off_high_vol_review_only,850,663,50,17,sufficient_regime_sample,-0.0463119913,-0.0246977808,0.0094105685,-0.0329959514,-0.0514251395,-0.0668492498,0.5294117647,-0.0023309840,-0.0046701916,-0.0020629726,inverse_signal_warning,inverse_signal_warning,inverse_signal_warning,1,1,1,sign_unstable,not_ready,no_aligned_directional_evidence,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,risk_on_high_vol_review_only,1250,975,50,25,sufficient_regime_sample,0.0238309489,0.0588719916,0.2331058126,0.0045949374,0.0275909778,0.2260161943,0.6400000000,0.0028778920,0.0097675897,0.0615042563,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,1,1,1,sign_unstable,not_ready,sign_unstable_across_windows,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,liquidity_filtered,benchmark_relative_strength,risk_on_low_vol_review_only,100,78,50,2,insufficient_regime_sample,-0.0889211415,-0.0609831920,-0.0586458994,-0.0008097166,-0.0681724600,-0.0010121457,0.5000000000,-0.0020505680,0.0005867823,0.0278639261,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,0,0,0,not_evaluable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,insufficient_composite_regime_evidence_review_only,950,0,50,19,insufficient_regime_evidence,,,,,,,,,,,not_evaluable,not_evaluable,not_evaluable,0,0,0,not_evaluable,not_ready,regime_evidence_insufficient,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,liquidity_stress_review_only,950,234,50,19,insufficient_regime_sample,-0.0668851897,-0.0002453811,-0.1570036853,-0.0662645262,0.0555555556,0.0018315018,0.4444444444,-0.0008104540,0.0113935115,0.0139260768,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,0,1,0,sign_stable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,mixed_uncertain_review_only,1900,494,50,38,insufficient_regime_sample,0.0787778941,0.1661130058,0.1214706827,0.0381723540,0.2139965298,0.1189994216,0.6842105263,0.0058485119,0.0299293630,0.0363630699,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0,4,0,sign_stable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,risk_off_high_vol_review_only,850,221,50,17,insufficient_regime_sample,-0.0028695762,-0.0468801035,0.0268561927,0.0067873303,-0.0423400129,0.0019392372,0.5294117647,0.0009874902,0.0029135366,0.0163686295,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0,2,0,sign_stable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,risk_on_high_vol_review_only,1250,325,50,25,insufficient_regime_sample,0.0200171692,0.1405236841,0.3811554063,-0.0004395604,0.0991208791,0.4268131868,0.4800000000,0.0018673073,0.0157133613,0.1464647744,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,1,1,1,sign_unstable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,review_queue_conditioned,benchmark_relative_strength,risk_on_low_vol_review_only,100,26,50,2,insufficient_regime_sample,-0.1667425841,0.0035038775,-0.1061400374,0.0824175824,0.0000000000,0.0824175824,0.5000000000,-0.0045423421,0.0003508629,0.0111327661,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,0,0,0,not_evaluable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,insufficient_composite_regime_evidence_review_only,950,0,50,19,insufficient_regime_evidence,,,,,,,,,,,not_evaluable,not_evaluable,not_evaluable,0,0,0,not_evaluable,not_ready,regime_evidence_insufficient,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,liquidity_stress_review_only,950,874,50,19,sufficient_regime_sample,-0.0006933710,0.0415788393,0.0477926467,-0.0511704618,0.0082382145,0.1034174227,0.4444444444,-0.0003434497,0.0008980069,0.0238221628,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,0,1,0,sign_stable,not_ready,conflicting_direction_across_horizons,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,mixed_uncertain_review_only,1900,1803,50,38,sufficient_regime_sample,0.0443014733,0.1035980552,0.0731849325,0.0264870662,0.1014835629,0.0282338426,0.6052631579,0.0032386181,0.0130210227,0.0171888457,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,2,2,2,sign_unstable,not_ready,sign_unstable_across_windows,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,risk_off_high_vol_review_only,850,808,50,17,sufficient_regime_sample,0.0021592979,0.0077983396,-0.0116766664,-0.0068810804,-0.0261928913,-0.0720744587,0.5882352941,-0.0008239644,-0.0010173714,-0.0004553428,inverse_signal_warning,inverse_signal_warning,inverse_signal_warning,1,1,1,sign_unstable,not_ready,no_aligned_directional_evidence,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,risk_on_high_vol_review_only,1250,1158,50,25,sufficient_regime_sample,0.0255262219,0.0490193529,0.1608890136,0.0274512814,0.0279282109,0.1245386994,0.5200000000,0.0027000158,0.0083770913,0.0366442615,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,1,1,1,sign_unstable,not_ready,sign_unstable_across_windows,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,risk_filtered,benchmark_relative_strength,risk_on_low_vol_review_only,100,92,50,2,insufficient_regime_sample,0.0417297094,0.1290306292,0.1582551939,0.0239180914,0.0799323405,0.1275330782,0.5000000000,0.0003897439,0.0153559823,0.0522045192,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0,0,0,not_evaluable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,insufficient_composite_regime_evidence_review_only,950,0,50,19,insufficient_regime_evidence,,,,,,,,,,,not_evaluable,not_evaluable,not_evaluable,0,0,0,not_evaluable,not_ready,regime_evidence_insufficient,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,liquidity_stress_review_only,950,872,50,19,sufficient_regime_sample,0.0019022728,0.0663563105,0.0736560524,-0.0394208090,0.0441584336,0.1019876791,0.6111111111,-0.0001375361,0.0038930384,0.0255834897,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,0,1,0,sign_stable,not_ready,conflicting_direction_across_horizons,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,mixed_uncertain_review_only,1900,1821,50,38,sufficient_regime_sample,0.0791989041,0.1634980873,0.1126446489,0.0361421379,0.1086837114,0.0366336142,0.6842105263,0.0025932537,0.0142164528,0.0217349283,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0,4,0,sign_stable,conditionally_useful,aligned_stable_regime_signal_but_not_base_validated_candidate,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,risk_off_high_vol_review_only,850,811,50,17,sufficient_regime_sample,-0.0234864010,0.0007067900,0.0342489797,-0.0365780684,-0.0337635146,-0.0599806919,0.4705882353,-0.0009156682,-0.0005367869,0.0033869463,inverse_signal_warning,inverse_signal_warning,expected_direction_aligned,1,1,1,sign_unstable,not_ready,conflicting_direction_across_horizons,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,risk_on_high_vol_review_only,1250,1165,50,25,sufficient_regime_sample,0.0419747070,0.0689899603,0.2103092163,0.0405569713,0.0477484032,0.1959237857,0.5200000000,0.0036502253,0.0108025814,0.0639394497,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,1,1,1,sign_unstable,not_ready,sign_unstable_across_windows,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_risk_filtered,downside_volatility_adjusted_signal,risk_on_low_vol_review_only,100,99,50,2,insufficient_regime_sample,-0.1281042747,0.1279549519,0.0760722953,-0.0795578268,0.1431950701,0.1376590636,0.5000000000,-0.0041347276,0.0121621555,0.0343811263,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,0,0,0,not_evaluable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,insufficient_composite_regime_evidence_review_only,950,0,50,19,insufficient_regime_evidence,,,,,,,,,,,not_evaluable,not_evaluable,not_evaluable,0,0,0,not_evaluable,not_ready,regime_evidence_insufficient,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,liquidity_stress_review_only,950,900,50,19,sufficient_regime_sample,-0.0064764281,0.0450462338,0.0591846532,-0.0420153925,0.0347338936,0.0889529145,0.5555555556,-0.0003726152,0.0016006457,0.0228410193,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,0,1,0,sign_stable,not_ready,conflicting_direction_across_horizons,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,mixed_uncertain_review_only,1900,1900,50,38,sufficient_regime_sample,0.0703785186,0.1491156009,0.1103353934,0.0280061068,0.0967410122,0.0321122133,0.6578947368,0.0026334325,0.0127190353,0.0205155113,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0,4,0,sign_stable,conditionally_useful,aligned_stable_regime_signal_but_not_base_validated_candidate,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,risk_off_high_vol_review_only,850,850,50,17,sufficient_regime_sample,-0.0233458115,-0.0005079713,0.0297573821,-0.0345715953,-0.0381706666,-0.0634955159,0.4705882353,-0.0019819836,-0.0019914985,0.0012370815,inverse_signal_warning,inverse_signal_warning,expected_direction_aligned,1,1,1,sign_unstable,not_ready,conflicting_direction_across_horizons,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,risk_on_high_vol_review_only,1250,1250,50,25,sufficient_regime_sample,0.0312498230,0.0464136693,0.1891301117,0.0189752381,0.0292704626,0.1713037215,0.4800000000,0.0029041375,0.0077348223,0.0531068161,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,1,1,1,sign_unstable,not_ready,sign_unstable_across_windows,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,horizon_specific,downside_volatility_adjusted_signal,risk_on_low_vol_review_only,100,100,50,2,insufficient_regime_sample,-0.0822828330,0.0997142415,0.0593996210,-0.0531082470,0.1215603798,0.1179351741,0.5000000000,-0.0029929461,0.0090886217,0.0292501150,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,0,0,0,not_evaluable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,downside_volatility_adjusted_signal,insufficient_composite_regime_evidence_review_only,950,0,50,19,insufficient_regime_evidence,,,,,,,,,,,not_evaluable,not_evaluable,not_evaluable,0,0,0,not_evaluable,not_ready,regime_evidence_insufficient,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,downside_volatility_adjusted_signal,liquidity_stress_review_only,950,702,50,19,sufficient_regime_sample,-0.0214564521,0.0138619859,-0.0147679849,-0.0689251111,0.0024403959,0.0087606838,0.4444444444,-0.0016353672,0.0000455323,0.0150721223,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,0,1,0,sign_stable,not_ready,conflicting_direction_across_horizons,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,downside_volatility_adjusted_signal,mixed_uncertain_review_only,1900,1482,50,38,sufficient_regime_sample,0.0672036785,0.1568495556,0.1154886434,0.0227651570,0.1076124014,0.0489186022,0.6842105263,0.0027593470,0.0142896742,0.0222296529,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0,4,0,sign_stable,conditionally_useful,aligned_stable_regime_signal_but_not_base_validated_candidate,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,downside_volatility_adjusted_signal,risk_off_high_vol_review_only,850,663,50,17,sufficient_regime_sample,-0.0297508610,-0.0056000255,0.0266122731,-0.0388663968,-0.0335621063,-0.0512264825,0.5294117647,-0.0029209394,-0.0033228836,-0.0006076960,inverse_signal_warning,inverse_signal_warning,inverse_signal_warning,1,1,1,sign_unstable,not_ready,no_aligned_directional_evidence,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,downside_volatility_adjusted_signal,risk_on_high_vol_review_only,1250,975,50,25,sufficient_regime_sample,0.0308044191,0.0461097036,0.1979042890,0.0177325632,0.0333356115,0.2312064777,0.5600000000,0.0039597760,0.0109459772,0.0677359347,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,1,1,1,sign_unstable,not_ready,sign_unstable_across_windows,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,liquidity_filtered,downside_volatility_adjusted_signal,risk_on_low_vol_review_only,100,78,50,2,insufficient_regime_sample,-0.0582955450,0.0093638897,-0.0098189310,-0.0167004049,-0.0017737421,0.0522267206,0.5000000000,-0.0046326680,-0.0029974958,0.0116862899,inverse_signal_warning,inverse_signal_warning,expected_direction_aligned,0,0,0,not_evaluable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,downside_volatility_adjusted_signal,insufficient_composite_regime_evidence_review_only,950,0,50,19,insufficient_regime_evidence,,,,,,,,,,,not_evaluable,not_evaluable,not_evaluable,0,0,0,not_evaluable,not_ready,regime_evidence_insufficient,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,downside_volatility_adjusted_signal,liquidity_stress_review_only,950,234,50,19,insufficient_regime_sample,-0.0250254044,0.0791341319,-0.0140689750,-0.0215422052,0.0943223443,0.0485347985,0.4444444444,0.0001426028,0.0132240080,0.0226597567,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0,1,0,sign_stable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,downside_volatility_adjusted_signal,mixed_uncertain_review_only,1900,494,50,38,insufficient_regime_sample,0.1148305634,0.2229114797,0.2037416663,0.0753325622,0.2421920185,0.1555812608,0.6578947368,0.0067658675,0.0333374073,0.0379703708,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0,4,0,sign_stable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,downside_volatility_adjusted_signal,risk_off_high_vol_review_only,850,221,50,17,insufficient_regime_sample,-0.0106413827,-0.0278321493,0.0714476517,-0.0135746606,-0.0539754363,0.0025856496,0.5294117647,-0.0005350992,0.0013172108,0.0017647954,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,0,2,0,sign_stable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,downside_volatility_adjusted_signal,risk_on_high_vol_review_only,1250,325,50,25,insufficient_regime_sample,0.0226712745,0.1174024580,0.3540088226,0.0085714286,0.0905494505,0.4334065934,0.4800000000,0.0031092051,0.0142646011,0.1430453767,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,1,1,1,sign_unstable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,review_queue_conditioned,downside_volatility_adjusted_signal,risk_on_low_vol_review_only,100,26,50,2,insufficient_regime_sample,-0.1150835889,-0.0108458533,-0.0709853416,0.0357142857,0.0082417582,0.1043956044,0.5000000000,-0.0104867712,-0.0156402180,-0.0021893940,inverse_signal_warning,inverse_signal_warning,inverse_signal_warning,0,0,0,not_evaluable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,risk_filtered,downside_volatility_adjusted_signal,insufficient_composite_regime_evidence_review_only,950,0,50,19,insufficient_regime_evidence,,,,,,,,,,,not_evaluable,not_evaluable,not_evaluable,0,0,0,not_evaluable,not_ready,regime_evidence_insufficient,passed_current_or_past_only,research_only
