candidate_id,base_refined_factor_id,source_factor_id,factor_family,refinement_type,readiness_transform,readiness_status,holdout_mean_ic_1d,holdout_rank_ic_1d,holdout_sign_consistency_1d,aligned_horizon_count,holdout_valid_rows,walk_forward_sign_consistency,base_precondition_pass,provider_robustness_status,non_actionable_disclaimer
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,liquidity_filtered,cross_sectional_rank,not_ready,0.024634,0.010026,0.5793,0,6714,0.3333,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,liquidity_filtered,winsorized_zscore,not_ready,0.025511,0.01001,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,review_queue_conditioned,identity,not_ready,0.027701,0.010026,0.5915,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,review_queue_conditioned,cross_sectional_zscore,not_ready,0.027701,0.010026,0.5915,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,review_queue_conditioned,cross_sectional_rank,not_ready,0.024634,0.010026,0.5793,0,6714,0.3333,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,review_queue_conditioned,winsorized_zscore,not_ready,0.025511,0.01001,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,risk_filtered,identity,not_ready,0.027701,0.010026,0.5915,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,risk_filtered,cross_sectional_zscore,not_ready,0.027701,0.010026,0.5915,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,risk_filtered,cross_sectional_rank,not_ready,0.024634,0.010026,0.5793,0,6714,0.3333,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,risk_filtered,winsorized_zscore,not_ready,0.025511,0.01001,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,downside_risk_filtered,identity,not_ready,0.00663,0.001434,0.5061,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,downside_risk_filtered,cross_sectional_zscore,not_ready,0.00663,0.001434,0.5061,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,downside_risk_filtered,cross_sectional_rank,not_ready,0.006275,0.001434,0.5122,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,downside_risk_filtered,winsorized_zscore,not_ready,0.00535,0.000811,0.4939,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,horizon_specific,identity,not_ready,0.00663,0.001434,0.5061,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,horizon_specific,cross_sectional_zscore,not_ready,0.00663,0.001434,0.5061,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,horizon_specific,cross_sectional_rank,not_ready,0.006275,0.001434,0.5122,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,horizon_specific,winsorized_zscore,not_ready,0.00535,0.000811,0.4939,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,liquidity_filtered,identity,not_ready,0.00663,0.001434,0.5061,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,liquidity_filtered,cross_sectional_zscore,not_ready,0.00663,0.001434,0.5061,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,liquidity_filtered,cross_sectional_rank,not_ready,0.006275,0.001434,0.5122,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,liquidity_filtered,winsorized_zscore,not_ready,0.00535,0.000811,0.4939,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,review_queue_conditioned,identity,not_ready,0.00663,0.001434,0.5061,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,review_queue_conditioned,cross_sectional_zscore,not_ready,0.00663,0.001434,0.5061,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,review_queue_conditioned,cross_sectional_rank,not_ready,0.006275,0.001434,0.5122,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,review_queue_conditioned,winsorized_zscore,not_ready,0.00535,0.000811,0.4939,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,risk_filtered,identity,not_ready,0.00663,0.001434,0.5061,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,risk_filtered,cross_sectional_zscore,not_ready,0.00663,0.001434,0.5061,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,risk_filtered,cross_sectional_rank,not_ready,0.006275,0.001434,0.5122,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,downside_volatility_adjusted_signal,risk_filtered,winsorized_zscore,not_ready,0.00535,0.000811,0.4939,0,4665,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,downside_risk_filtered,identity,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,downside_risk_filtered,cross_sectional_zscore,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,downside_risk_filtered,cross_sectional_rank,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,downside_risk_filtered,winsorized_zscore,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,price_volume_confirmation,horizon_specific,identity,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__horizon_specific__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,price_volume_confirmation,horizon_specific,cross_sectional_zscore,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__horizon_specific__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,price_volume_confirmation,horizon_specific,cross_sectional_rank,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__horizon_specific__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,price_volume_confirmation,horizon_specific,winsorized_zscore,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,liquidity_filtered,identity,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,liquidity_filtered,cross_sectional_zscore,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,liquidity_filtered,cross_sectional_rank,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,liquidity_filtered,winsorized_zscore,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d,price_volume_confirmation,review_queue_conditioned,identity,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d,price_volume_confirmation,review_queue_conditioned,cross_sectional_zscore,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d,price_volume_confirmation,review_queue_conditioned,cross_sectional_rank,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d,price_volume_confirmation,review_queue_conditioned,winsorized_zscore,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,risk_filtered,identity,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__risk_filtered__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,risk_filtered,cross_sectional_zscore,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__risk_filtered__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,risk_filtered,cross_sectional_rank,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_price_volume_confirmation_5d__risk_filtered__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d,price_volume_confirmation,risk_filtered,winsorized_zscore,not_ready,0.0,0.0,0.0,0,0,0.0,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,downside_risk_filtered,identity,not_ready,0.025906,0.00403,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,downside_risk_filtered,cross_sectional_zscore,not_ready,0.025906,0.00403,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__downside_risk_filtered__readiness_cross_sectional_rank,alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,downside_risk_filtered,cross_sectional_rank,not_ready,0.023927,0.00403,0.561,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__downside_risk_filtered__readiness_winsorized_zscore,alpha_risk_adjusted_relative_strength__downside_risk_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,downside_risk_filtered,winsorized_zscore,not_ready,0.023761,0.003537,0.5732,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,horizon_specific,identity,not_ready,0.025906,0.00403,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__horizon_specific__readiness_cross_sectional_zscore,alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,horizon_specific,cross_sectional_zscore,not_ready,0.025906,0.00403,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__horizon_specific__readiness_cross_sectional_rank,alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,horizon_specific,cross_sectional_rank,not_ready,0.023927,0.00403,0.561,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__horizon_specific__readiness_winsorized_zscore,alpha_risk_adjusted_relative_strength__horizon_specific,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,horizon_specific,winsorized_zscore,not_ready,0.023761,0.003537,0.5732,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,liquidity_filtered,identity,not_ready,0.025906,0.00403,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__liquidity_filtered__readiness_cross_sectional_zscore,alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,liquidity_filtered,cross_sectional_zscore,not_ready,0.025906,0.00403,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__liquidity_filtered__readiness_cross_sectional_rank,alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,liquidity_filtered,cross_sectional_rank,not_ready,0.023927,0.00403,0.561,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__liquidity_filtered__readiness_winsorized_zscore,alpha_risk_adjusted_relative_strength__liquidity_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,liquidity_filtered,winsorized_zscore,not_ready,0.023761,0.003537,0.5732,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,review_queue_conditioned,identity,not_ready,0.025906,0.00403,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,review_queue_conditioned,cross_sectional_zscore,not_ready,0.025906,0.00403,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned__readiness_cross_sectional_rank,alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,review_queue_conditioned,cross_sectional_rank,not_ready,0.023927,0.00403,0.561,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__review_queue_conditioned__readiness_winsorized_zscore,alpha_risk_adjusted_relative_strength__review_queue_conditioned,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,review_queue_conditioned,winsorized_zscore,not_ready,0.023761,0.003537,0.5732,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,risk_filtered,identity,not_ready,0.025906,0.00403,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__risk_filtered__readiness_cross_sectional_zscore,alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,risk_filtered,cross_sectional_zscore,not_ready,0.025906,0.00403,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__risk_filtered__readiness_cross_sectional_rank,alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,risk_filtered,cross_sectional_rank,not_ready,0.023927,0.00403,0.561,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_risk_adjusted_relative_strength__risk_filtered__readiness_winsorized_zscore,alpha_risk_adjusted_relative_strength__risk_filtered,alpha_risk_adjusted_relative_strength,risk_adjusted_alpha_candidate,risk_filtered,winsorized_zscore,not_ready,0.023761,0.003537,0.5732,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,downside_risk_filtered,identity,not_ready,0.02946,0.008274,0.5488,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,downside_risk_filtered,cross_sectional_zscore,not_ready,0.02946,0.008274,0.5488,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,downside_risk_filtered,cross_sectional_rank,not_ready,0.02562,0.008274,0.5366,0,6714,0.3333,false,pass_with_discrepancy_warnings,research_only
alpha_vol_adj_momentum_20d__downside_risk_filtered__readiness_winsorized_zscore,alpha_vol_adj_momentum_20d__downside_risk_filtered,alpha_vol_adj_momentum_20d,volatility_adjusted_momentum,downside_risk_filtered,winsorized_zscore,not_ready,0.027356,0.008,0.5488,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
