candidate_id,base_refined_factor_id,factor_family,refinement_transform,is_original,readiness_status,holdout_mean_ic_1d,holdout_sign_consistency_1d,aligned_horizon_count,holdout_valid_rows,walk_forward_sign_consistency,base_precondition_pass,non_actionable_disclaimer
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d__risk_filtered,downside_volatility_adjusted_signal,identity,true,conditionally_useful,0.070541,0.65,3,910,0.5,false,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__risk_filtered,downside_volatility_adjusted_signal,cross_sectional_zscore,false,conditionally_useful,0.070541,0.65,3,910,0.5,false,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__risk_filtered,downside_volatility_adjusted_signal,cross_sectional_rank,false,conditionally_useful,0.069593,0.65,3,910,1.0,false,research_only
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__risk_filtered,downside_volatility_adjusted_signal,winsorized_zscore,false,conditionally_useful,0.068955,0.65,3,910,1.0,false,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d__downside_risk_filtered,price_volume_confirmation,identity,true,conditionally_useful,0.017993,0.6087,1,1099,0.5,false,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__downside_risk_filtered,price_volume_confirmation,cross_sectional_zscore,false,conditionally_useful,0.017993,0.6087,1,1099,0.5,false,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__downside_risk_filtered,price_volume_confirmation,cross_sectional_rank,false,not_ready,0.001392,0.5217,0,1099,0.5,false,research_only
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__downside_risk_filtered,price_volume_confirmation,winsorized_zscore,false,conditionally_useful,0.035435,0.6087,1,1099,0.5,false,research_only
alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d__horizon_specific,price_volume_confirmation,identity,true,not_ready,-0.029816,0.4783,0,1150,0.5,false,research_only
alpha_price_volume_confirmation_5d__horizon_specific__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__horizon_specific,price_volume_confirmation,cross_sectional_zscore,false,not_ready,-0.029816,0.4783,0,1150,0.5,false,research_only
alpha_price_volume_confirmation_5d__horizon_specific__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__horizon_specific,price_volume_confirmation,cross_sectional_rank,false,not_ready,-0.016487,0.5652,0,1150,0.5,false,research_only
alpha_price_volume_confirmation_5d__horizon_specific__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__horizon_specific,price_volume_confirmation,winsorized_zscore,false,conditionally_useful,0.016038,0.6087,1,1150,0.5,false,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered,alpha_price_volume_confirmation_5d__liquidity_filtered,price_volume_confirmation,identity,true,not_ready,-0.024095,0.5217,1,897,0.5,false,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__liquidity_filtered,price_volume_confirmation,cross_sectional_zscore,false,not_ready,-0.024095,0.5217,1,897,0.5,false,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__liquidity_filtered,price_volume_confirmation,cross_sectional_rank,false,not_ready,-0.01875,0.5652,0,897,0.5,false,research_only
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__liquidity_filtered,price_volume_confirmation,winsorized_zscore,false,not_ready,-0.006113,0.4783,1,897,0.5,false,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned,alpha_price_volume_confirmation_5d__review_queue_conditioned,price_volume_confirmation,identity,true,not_ready,-0.034072,0.5,1,52,0.5,false,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__review_queue_conditioned,price_volume_confirmation,cross_sectional_zscore,false,not_ready,-0.034072,0.5,1,52,0.5,false,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__review_queue_conditioned,price_volume_confirmation,cross_sectional_rank,false,not_ready,-0.066844,0.6667,0,52,0.5,false,research_only
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__review_queue_conditioned,price_volume_confirmation,winsorized_zscore,false,not_ready,-0.034072,0.5,1,52,0.5,false,research_only
alpha_price_volume_confirmation_5d__risk_filtered,alpha_price_volume_confirmation_5d__risk_filtered,price_volume_confirmation,identity,true,not_ready,-0.02713,0.4783,0,1050,0.5,false,research_only
alpha_price_volume_confirmation_5d__risk_filtered__readiness_cross_sectional_zscore,alpha_price_volume_confirmation_5d__risk_filtered,price_volume_confirmation,cross_sectional_zscore,false,not_ready,-0.02713,0.4783,0,1050,0.5,false,research_only
alpha_price_volume_confirmation_5d__risk_filtered__readiness_cross_sectional_rank,alpha_price_volume_confirmation_5d__risk_filtered,price_volume_confirmation,cross_sectional_rank,false,not_ready,-0.037422,0.6522,0,1050,0.5,false,research_only
alpha_price_volume_confirmation_5d__risk_filtered__readiness_winsorized_zscore,alpha_price_volume_confirmation_5d__risk_filtered,price_volume_confirmation,winsorized_zscore,false,not_ready,0.009219,0.5652,0,1050,0.5,false,research_only
