candidate_id,base_refined_factor_id,old_status,new_status,old_ic_1d,new_ic_1d,old_rank_ic_1d,new_rank_ic_1d,old_sign_stability,new_sign_stability,old_regime_consistency,new_regime_consistency,old_sample_size,new_sample_size,oos_change,transition_category,readiness_transition_reason
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,not_ready,not_ready,0.046421,0.00535,-0.0062639151,0.000811,0.5,0.4939,regime_specific_review_only,extended_index_regime_diagnostics_applied,780,4665,-0.041071,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,not_ready,not_ready,0.070672,0.00663,0.0252982272,0.001434,0.6,0.5061,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,260,4665,-0.064042,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,not_ready,not_ready,0.070672,0.00663,0.0252982272,0.001434,0.6,0.5061,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,260,4665,-0.064042,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,not_ready,not_ready,0.068646,0.006275,0.0252982272,0.001434,0.6,0.5122,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,260,4665,-0.062371,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,not_ready,not_ready,0.062006,0.00535,0.0252982272,0.000811,0.65,0.4939,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,260,4665,-0.056656,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d__risk_filtered,conditionally_useful,not_ready,0.070541,0.00663,0.0044958733,0.001434,0.65,0.5061,regime_specific_review_only,extended_index_regime_diagnostics_applied,910,4665,-0.063911,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__risk_filtered,conditionally_useful,not_ready,0.070541,0.00663,0.0044958733,0.001434,0.65,0.5061,regime_specific_review_only,extended_index_regime_diagnostics_applied,910,4665,-0.063911,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__risk_filtered,conditionally_useful,not_ready,0.069593,0.006275,0.0044958733,0.001434,0.65,0.5122,regime_specific_review_only,extended_index_regime_diagnostics_applied,910,4665,-0.063318,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__risk_filtered__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__risk_filtered,conditionally_useful,not_ready,0.068955,0.00535,0.0044958733,0.000811,0.65,0.4939,regime_specific_review_only,extended_index_regime_diagnostics_applied,910,4665,-0.063605,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d__downside_risk_filtered,conditionally_useful,not_ready,0.017993,0.0,-0.0097320554,0.0,0.6087,0.0,regime_specific_review_only,extended_index_regime_diagnostics_applied,1099,0,-0.017993,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_sample_sufficient,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
