candidate_id,factor_family,old_status,new_status,transition_category,failed_criterion_count,failed_criteria,primary_failure_class,holdout_mean_ic_1d,holdout_sign_consistency_1d,aligned_horizon_count,holdout_valid_rows,research_decision
alpha_price_volume_confirmation_5d__downside_risk_filtered,price_volume_confirmation,conditionally_useful,not_ready,lost_conditional_status,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_cross_sectional_rank,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_cross_sectional_zscore,price_volume_confirmation,conditionally_useful,not_ready,lost_conditional_status,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__downside_risk_filtered__readiness_winsorized_zscore,price_volume_confirmation,conditionally_useful,not_ready,lost_conditional_status,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__horizon_specific,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__horizon_specific__readiness_cross_sectional_rank,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__horizon_specific__readiness_cross_sectional_zscore,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__horizon_specific__readiness_winsorized_zscore,price_volume_confirmation,conditionally_useful,not_ready,lost_conditional_status,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__liquidity_filtered,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_cross_sectional_rank,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_cross_sectional_zscore,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__liquidity_filtered__readiness_winsorized_zscore,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__review_queue_conditioned,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_cross_sectional_rank,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_cross_sectional_zscore,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
alpha_price_volume_confirmation_5d__review_queue_conditioned__readiness_winsorized_zscore,price_volume_confirmation,not_ready,not_ready,unchanged_not_ready,6,base_precondition_pass;holdout_sample_sufficient;holdout_strong_ic_1d;holdout_sign_stable_1d;aligned_horizons_ge_2;walk_forward_stable,holdout_strong_ic_1d,0.0,0.0,0,0,redesign_or_stop_no_promotion
