trade_date,benchmark_symbol,benchmark_trend_regime,benchmark_volatility_regime,breadth_regime,dispersion_regime,liquidity_regime,downside_risk_regime,composite_regime_label,benchmark_trailing_return_5d,benchmark_trailing_return_20d,benchmark_trailing_volatility_20d,universe_positive_return_share,universe_negative_return_share,universe_return_dispersion,universe_liquidity_proxy,high_downside_risk_share,valid_symbol_count,source_provider,universe_mode,no_lookahead_status,label_construction_status,non_actionable_disclaimer
2026-01-26,000300.SH,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,risk_off_high_vol_review_only,-0.0214541900,-0.0108494138,0.0066318461,0.3800000000,0.6200000000,3.0902095473,2.2507660000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-27,000300.SH,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,risk_off_high_vol_review_only,-0.0096870773,-0.0219026456,0.0065677248,0.2800000000,0.7200000000,2.0039978478,1.9534140000,0.0400000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-28,000300.SH,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,risk_off_high_vol_review_only,-0.0040924619,-0.0149002603,0.0067230442,0.3400000000,0.6600000000,1.6101167559,2.0153020000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-29,000300.SH,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_positive_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_mixed_review_only,mixed_uncertain_review_only,-0.0175543095,-0.0196536098,0.0070479854,0.6200000000,0.3800000000,3.5177770845,2.3105060000,0.0800000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-30,000300.SH,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_mixed_review_only,risk_off_high_vol_review_only,-0.0133318457,-0.0193111841,0.0073326167,0.1200000000,0.8800000000,2.6511396970,2.0576400000,0.0600000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-02-02,000300.SH,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_normal_review_only,downside_risk_mixed_review_only,mixed_uncertain_review_only,0.0245498249,0.0149319583,0.0069461355,0.2000000000,0.8000000000,2.3524540491,1.8474260000,0.1200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-02-03,000300.SH,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_positive_review_only,dispersion_high_review_only,liquidity_normal_review_only,downside_risk_low_review_only,risk_on_low_vol_review_only,0.0137739744,0.0095252097,0.0072424142,0.8400000000,0.1600000000,2.3099317384,1.6551840000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-02-04,000300.SH,benchmark_trend_flat_review_only,benchmark_vol_low_review_only,breadth_positive_review_only,dispersion_high_review_only,liquidity_normal_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,0.0032211791,-0.0023672803,0.0071474749,0.8000000000,0.2000000000,2.3801080550,1.7349900000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-02-05,000300.SH,benchmark_trend_flat_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,0.0105256514,-0.0002738084,0.0071247047,0.4400000000,0.5600000000,2.1025493741,1.5788600000,0.0400000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-02-06,000300.SH,benchmark_trend_flat_review_only,benchmark_vol_medium_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_normal_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,0.0036199748,0.0060218849,0.0079231398,0.2600000000,0.7400000000,2.5777152270,1.5168720000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
