trading_date,asof_ts,portfolio_id,symbol,holdings_mode,constraint_id,current_value,threshold,breach,severity,evidence_availability,fail_closed,action_instruction,constraint_source,research_only,not_trading_advice,not_for_execution
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000895.SZ,research_reference_portfolio,min_history_observations,841,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000938.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000938.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0452208573,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000938.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000963.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000963.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0149021651,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000963.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,001979.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,001979.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0184267734,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,001979.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002236.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002236.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0105892318,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002236.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002241.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002241.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0247692018,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002241.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002311.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002311.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0153407155,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002311.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002352.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002352.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0038176509,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002352.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002371.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002371.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.033899361,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002371.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002415.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002415.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0151705396,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002415.SZ,research_reference_portfolio,min_history_observations,841,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002460.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002460.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0324828918,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002460.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002466.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002466.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0383356319,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002466.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002493.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002493.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0302842769,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002493.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002594.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002594.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0105182356,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002594.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002601.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002601.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0239737943,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002601.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002714.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002714.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0143593676,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002714.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002736.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002736.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0105234503,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002736.SZ,research_reference_portfolio,min_history_observations,832,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002812.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002812.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0479527014,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002812.SZ,research_reference_portfolio,min_history_observations,831,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002821.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002821.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0417701635,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002821.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002841.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002841.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0138960208,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002841.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002916.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002916.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0568428868,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002916.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002920.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002920.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0250648272,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,002920.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,300015.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,300015.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0173912002,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,300015.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,300033.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,300033.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0432901847,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,300033.SZ,research_reference_portfolio,min_history_observations,841,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,300059.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,300059.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0235907676,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
